"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Hyundai","Elite I20","Magna Plus","634,950","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3985","1734","5","13.3","18.6","84","115","Manual","2570"
"Hyundai","Elite I20","Magna Plus Crdi","770,803","1396","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1505","3985","1734","5","18.4","22.54","90","220","Manual","2570"
"Hyundai","Elite I20","Sportz Plus","721,693","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3985","1734","5","13.3","18.6","84","115","Manual","2570"
"Hyundai","Elite I20","Sportz Plus Crdi Dual Tone","876,103","1396","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1505","3985","1734","5","18.4","22.54","90","220","Manual","2570"
"Hyundai","Elite I20","Asta (O) 1.2","808,993","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3995","1734","5","13.3","18.15","84","114","Manual","2570"
"Hyundai","Elite I20","Asta (O) Crdi","934,003","1396","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1505","3985","1734","5","18.4","22.54","90","220","Manual","2570"
"Hyundai","Elite I20","Asta (O) Cvt","920,993","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3985","1734","5","13.3","18.6","83","115","Automatic","2570"
"Hyundai","Elite I20","Sportz Plus Dual Tone","751,693","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3985","1734","5","13.3","18.6","84","115","Manual","2570"
"Hyundai","Elite I20","Sportz Plus Cvt","831,693","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3985","1734","5","13.3","18.6","84","115","Manual","2570"
"Hyundai","Elite I20","Sportz Plus Crdi","846,103","1396","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1505","3985","1734","5","18.4","22.54","90","220","Manual","2570"
"Hyundai","Aura","E 1.2 Petrol","579,900","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.5","83","114","Manual","2450"
"Hyundai","Aura","S 1.2 Petrol","655,900","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.5","83","114","Manual","2450"
"Hyundai","Aura","S 1.2 Amt Petrol","705,800","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.1","83","114","Automatic","2450"
"Hyundai","Aura","Sx 1.2 Petrol","729,900","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.5","83","114","Manual","2450"
"Hyundai","Aura","Sx Plus 1.2 Amt Petrol","804,800","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.1","83","114","Automatic","2450"
"Hyundai","Aura","Sx (O) 1.2 Petrol","785,900","1197","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.5","83","114","Manual","2450"
